Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000144331	ENSG00000185760	g	g.Ctrl_TCX	0.52
ENSG00000157916	ENSG00000115649	g	g.Ctrl_TCX	0.52
ENSG00000157916	ENSG00000112242	g	g.Ctrl_TCX	-0.53
ENSG00000157916	ENSG00000151376	g	g.Ctrl_TCX	-0.52
ENSG00000115649	ENSG00000151376	g	g.Ctrl_TCX	-0.51
ENSG00000157916	ENSG00000048740	g	g.Ctrl_TCX	-0.52
ENSG00000157916	ENSG00000134775	g	g.Ctrl_TCX	-0.52
ENSG00000157916	ENSG00000105767	g	g.Ctrl_TCX	0.53
ENSG00000156103	ENSG00000239779	g	g.Ctrl_TCX	-0.51
ENSG00000135698	ENSG00000239779	g	g.Ctrl_TCX	-0.52
ENSG00000213204	ENSG00000239779	g	g.Ctrl_TCX	-0.53
ENSG00000104825	ENSG00000239779	g	g.Ctrl_TCX	0.53
ENSG00000197429	ENSG00000239779	g	g.Ctrl_TCX	0.51
ENSG00000189171	ENSG00000239779	g	g.Ctrl_TCX	0.51
ENSG00000239779	ENSG00000234171	g	g.Ctrl_TCX	0.51
ENSG00000239779	ENSG00000163344	g	g.Ctrl_TCX	0.51
ENSG00000213204	ENSG00000149932	g	g.Ctrl_TCX	-0.52
ENSG00000239779	ENSG00000149932	g	g.Ctrl_TCX	0.53
ENSG00000163344	ENSG00000149932	g	g.Ctrl_TCX	0.51
ENSG00000239779	ENSG00000106330	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000262481	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000125611	g	g.Ctrl_TCX	0.51
ENSG00000104825	ENSG00000162244	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000162244	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000168936	g	g.Ctrl_TCX	0.53
ENSG00000239779	ENSG00000138640	g	g.Ctrl_TCX	-0.51
ENSG00000213204	ENSG00000106628	g	g.Ctrl_TCX	-0.52
ENSG00000239779	ENSG00000106628	g	g.Ctrl_TCX	0.54
ENSG00000239779	ENSG00000165259	g	g.Ctrl_TCX	-0.52
ENSG00000239779	ENSG00000166441	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000161016	g	g.Ctrl_TCX	0.52
ENSG00000149932	ENSG00000161016	g	g.Ctrl_TCX	0.53
ENSG00000213204	ENSG00000177600	g	g.Ctrl_TCX	-0.52
ENSG00000104825	ENSG00000177600	g	g.Ctrl_TCX	0.53
ENSG00000239779	ENSG00000177600	g	g.Ctrl_TCX	0.53
ENSG00000104825	ENSG00000149357	g	g.Ctrl_TCX	0.53
ENSG00000239779	ENSG00000149357	g	g.Ctrl_TCX	0.53
ENSG00000213204	ENSG00000135446	g	g.Ctrl_TCX	-0.52
ENSG00000104825	ENSG00000135446	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000135446	g	g.Ctrl_TCX	0.53
ENSG00000104825	ENSG00000149806	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000149806	g	g.Ctrl_TCX	0.52
ENSG00000149932	ENSG00000149806	g	g.Ctrl_TCX	0.52
ENSG00000213204	ENSG00000130717	g	g.Ctrl_TCX	-0.54
ENSG00000239779	ENSG00000130717	g	g.Ctrl_TCX	0.54
ENSG00000149932	ENSG00000130717	g	g.Ctrl_TCX	0.53
ENSG00000239779	ENSG00000166337	g	g.Ctrl_TCX	0.54
ENSG00000149932	ENSG00000166337	g	g.Ctrl_TCX	0.53
ENSG00000239779	ENSG00000150527	g	g.Ctrl_TCX	-0.51
ENSG00000239779	ENSG00000140264	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000157734	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000161920	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000170175	g	g.Ctrl_TCX	0.53
ENSG00000239779	ENSG00000181350	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000101158	g	g.Ctrl_TCX	0.51
ENSG00000104825	ENSG00000115268	g	g.Ctrl_TCX	0.53
ENSG00000239779	ENSG00000115268	g	g.Ctrl_TCX	0.53
ENSG00000149932	ENSG00000115268	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000064490	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000189042	g	g.Ctrl_TCX	-0.51
ENSG00000239779	ENSG00000142541	g	g.Ctrl_TCX	0.52
ENSG00000239779	ENSG00000142534	g	g.Ctrl_TCX	0.51
ENSG00000104825	ENSG00000131408	g	g.Ctrl_TCX	0.53
ENSG00000239779	ENSG00000131408	g	g.Ctrl_TCX	0.53
ENSG00000239779	ENSG00000170889	g	g.Ctrl_TCX	0.5
ENSG00000239779	ENSG00000063177	g	g.Ctrl_TCX	0.52
ENSG00000149932	ENSG00000063177	g	g.Ctrl_TCX	0.52
ENSG00000157916	ENSG00000172318	g	g.Ctrl_TCX	-0.53
ENSG00000146938	ENSG00000172318	g	g.Ctrl_TCX	0.51
ENSG00000157916	ENSG00000161671	g	g.Ctrl_TCX	0.53
ENSG00000048740	ENSG00000161671	g	g.Ctrl_TCX	-0.52
ENSG00000157734	ENSG00000161671	g	g.Ctrl_TCX	0.53
ENSG00000172318	ENSG00000161671	g	g.Ctrl_TCX	-0.53
ENSG00000113805	ENSG00000182149	g	g.Ctrl_TCX	-0.51
ENSG00000186952	ENSG00000182149	g	g.Ctrl_TCX	-0.51
