Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000079785	ENSG00000136531	a	a	0.56
ENSG00000079785	ENSG00000075790	a	a	0.55
ENSG00000136531	ENSG00000075790	a	a	0.55
ENSG00000079785	ENSG00000123570	a	a	0.56
ENSG00000136531	ENSG00000123570	a	a	0.55
ENSG00000075790	ENSG00000123570	a	a	0.55
ENSG00000079785	ENSG00000107758	a	a	0.56
ENSG00000136531	ENSG00000107758	a	a	0.55
ENSG00000075790	ENSG00000107758	a	a	0.55
ENSG00000123570	ENSG00000107758	a	a	0.55
ENSG00000079785	ENSG00000005249	a	a	0.54
ENSG00000136531	ENSG00000005249	a	a	0.55
ENSG00000075790	ENSG00000005249	g	g.AD_TCX	0.54
ENSG00000123570	ENSG00000005249	g	g.AD_TCX	0.54
ENSG00000107758	ENSG00000005249	a	a	0.54
ENSG00000079785	ENSG00000070961	a	a	0.55
ENSG00000136531	ENSG00000070961	a	a	0.56
ENSG00000075790	ENSG00000070961	a	a	0.55
ENSG00000123570	ENSG00000070961	g	g.AD_TCX	0.55
ENSG00000107758	ENSG00000070961	a	a	0.55
ENSG00000005249	ENSG00000070961	g	g.AD_TCX	0.55
ENSG00000123570	ENSG00000226849	g	g.AD_TCX	-0.51
ENSG00000107758	ENSG00000226849	g	g.AD_TCX	-0.51
ENSG00000070961	ENSG00000226849	g	g.AD_TCX	-0.52
ENSG00000079785	ENSG00000163536	a	a	0.55
ENSG00000136531	ENSG00000163536	a	a	0.55
ENSG00000075790	ENSG00000163536	a	a	0.54
ENSG00000123570	ENSG00000163536	g	g.AD_TCX	0.55
ENSG00000107758	ENSG00000163536	a	a	0.55
ENSG00000005249	ENSG00000163536	a	a	0.54
ENSG00000070961	ENSG00000163536	g	g.AD_TCX	0.56
ENSG00000226849	ENSG00000163536	g	g.AD_TCX	-0.51
ENSG00000079785	ENSG00000109158	a	a	0.55
ENSG00000136531	ENSG00000109158	a	a	0.55
ENSG00000075790	ENSG00000109158	a	a	0.55
ENSG00000123570	ENSG00000109158	a	a	0.55
ENSG00000107758	ENSG00000109158	a	a	0.55
ENSG00000005249	ENSG00000109158	g	g.AD_TCX	0.55
ENSG00000070961	ENSG00000109158	a	a	0.56
ENSG00000226849	ENSG00000109158	g	g.AD_TCX	-0.51
ENSG00000163536	ENSG00000109158	a	a	0.54
ENSG00000079785	ENSG00000109738	a	a	0.55
ENSG00000136531	ENSG00000109738	a	a	0.55
ENSG00000075790	ENSG00000109738	a	a	0.55
ENSG00000123570	ENSG00000109738	a	a	0.54
ENSG00000107758	ENSG00000109738	a	a	0.54
ENSG00000005249	ENSG00000109738	a	a	0.54
ENSG00000070961	ENSG00000109738	a	a	0.56
ENSG00000226849	ENSG00000109738	g	g.AD_TCX	-0.51
ENSG00000163536	ENSG00000109738	a	a	0.55
ENSG00000109158	ENSG00000109738	a	a	0.55
ENSG00000079785	ENSG00000085365	a	a	0.56
ENSG00000136531	ENSG00000085365	a	a	0.55
ENSG00000075790	ENSG00000085365	a	a	0.55
ENSG00000123570	ENSG00000085365	a	a	0.55
ENSG00000107758	ENSG00000085365	a	a	0.55
ENSG00000005249	ENSG00000085365	a	a	0.53
ENSG00000070961	ENSG00000085365	g	g.AD_TCX	0.54
ENSG00000226849	ENSG00000085365	g	g.AD_TCX	-0.52
ENSG00000163536	ENSG00000085365	g	g.AD_TCX	0.54
ENSG00000109158	ENSG00000085365	a	a	0.54
ENSG00000109738	ENSG00000085365	a	a	0.54
ENSG00000079785	ENSG00000118402	a	a	0.55
ENSG00000136531	ENSG00000118402	a	a	0.55
ENSG00000075790	ENSG00000118402	a	a	0.54
ENSG00000123570	ENSG00000118402	g	g.AD_TCX	0.54
ENSG00000107758	ENSG00000118402	a	a	0.55
ENSG00000005249	ENSG00000118402	a	a	0.53
ENSG00000070961	ENSG00000118402	g	g.AD_TCX	0.55
ENSG00000226849	ENSG00000118402	g	g.AD_TCX	-0.51
ENSG00000163536	ENSG00000118402	g	g.AD_TCX	0.54
ENSG00000109158	ENSG00000118402	a	a	0.54
ENSG00000109738	ENSG00000118402	a	a	0.55
ENSG00000085365	ENSG00000118402	g	g.AD_TCX	0.54
ENSG00000079785	ENSG00000172209	a	a	0.56
ENSG00000136531	ENSG00000172209	a	a	0.55
ENSG00000075790	ENSG00000172209	a	a	0.55
ENSG00000123570	ENSG00000172209	a	a	0.54
ENSG00000107758	ENSG00000172209	a	a	0.55
ENSG00000005249	ENSG00000172209	a	a	0.54
ENSG00000070961	ENSG00000172209	g	g.AD_TCX	0.55
ENSG00000226849	ENSG00000172209	g	g.AD_TCX	-0.51
ENSG00000163536	ENSG00000172209	g	g.AD_TCX	0.54
ENSG00000109158	ENSG00000172209	a	a	0.55
