Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000014641	ENSG00000114573	a	a	0.56
ENSG00000014641	ENSG00000158109	g	g.AD_TCX	0.53
ENSG00000114573	ENSG00000158109	g	g.AD_TCX	0.53
ENSG00000014641	ENSG00000069345	g	g.AD_TCX	0.55
ENSG00000114573	ENSG00000069345	g	g.AD_TCX	0.56
ENSG00000158109	ENSG00000069345	g	g.AD_TCX	0.52
ENSG00000014641	ENSG00000143155	g	g.AD_TCX	0.55
ENSG00000114573	ENSG00000143155	g	g.AD_TCX	0.56
ENSG00000069345	ENSG00000143155	g	g.AD_TCX	0.55
ENSG00000014641	ENSG00000119801	g	g.AD_TCX	0.55
ENSG00000114573	ENSG00000119801	g	g.AD_TCX	0.56
ENSG00000069345	ENSG00000119801	g	g.AD_TCX	0.55
ENSG00000143155	ENSG00000119801	a	a	0.56
ENSG00000014641	ENSG00000114405	g	g.AD_TCX	0.56
ENSG00000114573	ENSG00000114405	a	a	0.56
ENSG00000069345	ENSG00000114405	g	g.AD_TCX	0.55
ENSG00000143155	ENSG00000114405	a	a	0.56
ENSG00000119801	ENSG00000114405	a	a	0.56
ENSG00000014641	ENSG00000061918	a	a	0.55
ENSG00000114573	ENSG00000061918	a	a	0.56
ENSG00000069345	ENSG00000061918	g	g.AD_TCX	0.55
ENSG00000143155	ENSG00000061918	a	a	0.56
ENSG00000119801	ENSG00000061918	a	a	0.56
ENSG00000114405	ENSG00000061918	a	a	0.56
ENSG00000143155	ENSG00000171729	g	g.AD_TCX	-0.52
ENSG00000119801	ENSG00000171729	g	g.AD_TCX	-0.52
ENSG00000114405	ENSG00000171729	g	g.AD_TCX	-0.52
ENSG00000061918	ENSG00000171729	g	g.AD_TCX	-0.52
ENSG00000014641	ENSG00000156735	g	g.AD_TCX	0.55
ENSG00000114573	ENSG00000156735	a	a	0.56
ENSG00000069345	ENSG00000156735	g	g.AD_TCX	0.54
ENSG00000143155	ENSG00000156735	a	a	0.56
ENSG00000119801	ENSG00000156735	g	g.AD_TCX	0.55
ENSG00000114405	ENSG00000156735	a	a	0.56
ENSG00000061918	ENSG00000156735	a	a	0.55
ENSG00000171729	ENSG00000156735	g	g.AD_TCX	-0.52
ENSG00000014641	ENSG00000139131	g	g.AD_TCX	0.56
ENSG00000114573	ENSG00000139131	a	a	0.56
ENSG00000069345	ENSG00000139131	g	g.AD_TCX	0.55
ENSG00000143155	ENSG00000139131	a	a	0.56
ENSG00000119801	ENSG00000139131	a	a	0.56
ENSG00000114405	ENSG00000139131	a	a	0.56
ENSG00000061918	ENSG00000139131	a	a	0.56
ENSG00000171729	ENSG00000139131	a	a	-0.52
ENSG00000156735	ENSG00000139131	a	a	0.55
ENSG00000014641	ENSG00000136404	g	g.AD_TCX	0.55
ENSG00000114573	ENSG00000136404	g	g.AD_TCX	0.56
ENSG00000069345	ENSG00000136404	g	g.AD_TCX	0.55
ENSG00000143155	ENSG00000136404	a	a	0.56
ENSG00000119801	ENSG00000136404	g	g.AD_TCX	0.55
