Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000014641	ENSG00000114573	a	a	0.54
ENSG00000115415	ENSG00000047249	a	a	0.54
ENSG00000115415	ENSG00000104388	a	a	0.55
ENSG00000115415	ENSG00000103769	a	a	0.54
ENSG00000104388	ENSG00000103769	a	a	0.55
ENSG00000115415	ENSG00000142875	a	a	0.55
ENSG00000047249	ENSG00000142875	a	a	0.52
ENSG00000104388	ENSG00000142875	a	a	0.54
ENSG00000103769	ENSG00000142875	a	a	0.53
ENSG00000115415	ENSG00000143155	a	a	0.55
ENSG00000104388	ENSG00000143155	a	a	0.55
ENSG00000103769	ENSG00000143155	a	a	0.55
ENSG00000142875	ENSG00000143155	a	a	0.55
ENSG00000115415	ENSG00000079785	a	a	0.56
ENSG00000047249	ENSG00000079785	g	g.Ctrl_TCX	0.54
ENSG00000104388	ENSG00000079785	a	a	0.56
ENSG00000103769	ENSG00000079785	a	a	0.55
ENSG00000142875	ENSG00000079785	a	a	0.56
ENSG00000143155	ENSG00000079785	a	a	0.57
ENSG00000115415	ENSG00000119801	a	a	0.54
ENSG00000104388	ENSG00000119801	a	a	0.55
ENSG00000103769	ENSG00000119801	a	a	0.54
ENSG00000142875	ENSG00000119801	a	a	0.53
ENSG00000143155	ENSG00000119801	a	a	0.55
ENSG00000079785	ENSG00000119801	a	a	0.55
ENSG00000115415	ENSG00000136531	a	a	0.56
ENSG00000047249	ENSG00000136531	g	g.Ctrl_TCX	0.54
ENSG00000104388	ENSG00000136531	g	g.Ctrl_TCX	0.54
ENSG00000142875	ENSG00000136531	a	a	0.54
ENSG00000143155	ENSG00000136531	a	a	0.55
ENSG00000079785	ENSG00000136531	a	a	0.56
ENSG00000119801	ENSG00000136531	a	a	0.53
ENSG00000114573	ENSG00000114405	a	a	0.54
ENSG00000115415	ENSG00000114405	a	a	0.54
ENSG00000104388	ENSG00000114405	a	a	0.55
ENSG00000103769	ENSG00000114405	a	a	0.54
ENSG00000142875	ENSG00000114405	a	a	0.53
ENSG00000143155	ENSG00000114405	a	a	0.55
ENSG00000079785	ENSG00000114405	a	a	0.55
ENSG00000119801	ENSG00000114405	a	a	0.54
ENSG00000136531	ENSG00000114405	a	a	0.54
ENSG00000014641	ENSG00000061918	a	a	0.55
ENSG00000114573	ENSG00000061918	a	a	0.55
ENSG00000115415	ENSG00000061918	a	a	0.55
ENSG00000104388	ENSG00000061918	a	a	0.55
ENSG00000142875	ENSG00000061918	a	a	0.54
ENSG00000143155	ENSG00000061918	a	a	0.55
ENSG00000079785	ENSG00000061918	a	a	0.56
ENSG00000119801	ENSG00000061918	a	a	0.55
ENSG00000136531	ENSG00000061918	a	a	0.55
ENSG00000114405	ENSG00000061918	a	a	0.55
ENSG00000115415	ENSG00000075790	a	a	0.56
ENSG00000104388	ENSG00000075790	a	a	0.55
ENSG00000103769	ENSG00000075790	a	a	0.54
ENSG00000142875	ENSG00000075790	a	a	0.54
ENSG00000143155	ENSG00000075790	a	a	0.55
ENSG00000079785	ENSG00000075790	a	a	0.56
ENSG00000119801	ENSG00000075790	a	a	0.53
ENSG00000136531	ENSG00000075790	a	a	0.54
ENSG00000114405	ENSG00000075790	a	a	0.54
ENSG00000061918	ENSG00000075790	a	a	0.54
ENSG00000115415	ENSG00000123570	a	a	0.56
ENSG00000104388	ENSG00000123570	g	g.Ctrl_TCX	0.55
ENSG00000142875	ENSG00000123570	a	a	0.55
ENSG00000143155	ENSG00000123570	a	a	0.55
ENSG00000079785	ENSG00000123570	a	a	0.56
ENSG00000119801	ENSG00000123570	a	a	0.54
ENSG00000136531	ENSG00000123570	a	a	0.56
ENSG00000114405	ENSG00000123570	a	a	0.55
ENSG00000061918	ENSG00000123570	a	a	0.55
ENSG00000075790	ENSG00000123570	a	a	0.55
ENSG00000114573	ENSG00000156735	a	a	0.54
ENSG00000103769	ENSG00000156735	a	a	0.54
ENSG00000143155	ENSG00000156735	a	a	0.54
ENSG00000079785	ENSG00000156735	a	a	0.53
ENSG00000114405	ENSG00000156735	a	a	0.54
ENSG00000061918	ENSG00000156735	a	a	0.54
ENSG00000115415	ENSG00000107758	a	a	0.55
ENSG00000047249	ENSG00000107758	g	g.Ctrl_TCX	0.53
ENSG00000104388	ENSG00000107758	a	a	0.54
ENSG00000103769	ENSG00000107758	a	a	0.54
ENSG00000142875	ENSG00000107758	a	a	0.54
ENSG00000143155	ENSG00000107758	a	a	0.54
ENSG00000079785	ENSG00000107758	a	a	0.56
ENSG00000119801	ENSG00000107758	a	a	0.53
ENSG00000136531	ENSG00000107758	a	a	0.55
ENSG00000114405	ENSG00000107758	a	a	0.54
ENSG00000061918	ENSG00000107758	a	a	0.55
ENSG00000075790	ENSG00000107758	a	a	0.54
ENSG00000123570	ENSG00000107758	a	a	0.55
ENSG00000114573	ENSG00000139131	a	a	0.55
ENSG00000115415	ENSG00000139131	a	a	0.56
ENSG00000104388	ENSG00000139131	a	a	0.56
ENSG00000103769	ENSG00000139131	a	a	0.55
ENSG00000142875	ENSG00000139131	a	a	0.54
ENSG00000143155	ENSG00000139131	a	a	0.56
ENSG00000079785	ENSG00000139131	a	a	0.56
ENSG00000119801	ENSG00000139131	a	a	0.55
ENSG00000136531	ENSG00000139131	a	a	0.55
ENSG00000114405	ENSG00000139131	a	a	0.55
ENSG00000061918	ENSG00000139131	a	a	0.56
ENSG00000171729	ENSG00000139131	a	a	-0.51
ENSG00000075790	ENSG00000139131	a	a	0.55
ENSG00000123570	ENSG00000139131	a	a	0.56
ENSG00000156735	ENSG00000139131	a	a	0.54
ENSG00000107758	ENSG00000139131	a	a	0.55
ENSG00000115415	ENSG00000136404	a	a	0.53
ENSG00000104388	ENSG00000136404	a	a	0.54
ENSG00000103769	ENSG00000136404	a	a	0.54
ENSG00000143155	ENSG00000136404	a	a	0.54
ENSG00000079785	ENSG00000136404	a	a	0.54
ENSG00000136531	ENSG00000136404	a	a	0.52
ENSG00000114405	ENSG00000136404	a	a	0.53
ENSG00000075790	ENSG00000136404	a	a	0.53
ENSG00000123570	ENSG00000136404	a	a	0.53
ENSG00000107758	ENSG00000136404	a	a	0.52
ENSG00000139131	ENSG00000136404	a	a	0.54
ENSG00000114573	ENSG00000085433	a	a	0.56
ENSG00000061918	ENSG00000085433	a	a	0.55
ENSG00000115415	ENSG00000163536	a	a	0.55
ENSG00000142875	ENSG00000163536	a	a	0.54
ENSG00000079785	ENSG00000163536	a	a	0.56
ENSG00000136531	ENSG00000163536	a	a	0.54
ENSG00000114405	ENSG00000163536	a	a	0.54
ENSG00000075790	ENSG00000163536	a	a	0.54
ENSG00000107758	ENSG00000163536	a	a	0.54
ENSG00000139131	ENSG00000163536	a	a	0.55
ENSG00000115415	ENSG00000112996	a	a	0.55
ENSG00000104388	ENSG00000112996	g	g.Ctrl_TCX	0.53
ENSG00000103769	ENSG00000112996	a	a	0.53
ENSG00000142875	ENSG00000112996	a	a	0.54
ENSG00000143155	ENSG00000112996	a	a	0.55
ENSG00000079785	ENSG00000112996	a	a	0.56
ENSG00000136531	ENSG00000112996	a	a	0.54
ENSG00000114405	ENSG00000112996	a	a	0.53
ENSG00000075790	ENSG00000112996	a	a	0.54
ENSG00000123570	ENSG00000112996	a	a	0.55
ENSG00000107758	ENSG00000112996	a	a	0.53
ENSG00000139131	ENSG00000112996	a	a	0.55
ENSG00000115415	ENSG00000085365	a	a	0.55
ENSG00000104388	ENSG00000085365	a	a	0.54
ENSG00000103769	ENSG00000085365	a	a	0.54
ENSG00000142875	ENSG00000085365	a	a	0.55
ENSG00000143155	ENSG00000085365	a	a	0.55
ENSG00000079785	ENSG00000085365	a	a	0.56
ENSG00000119801	ENSG00000085365	a	a	0.53
ENSG00000136531	ENSG00000085365	a	a	0.54
ENSG00000114405	ENSG00000085365	a	a	0.53
ENSG00000075790	ENSG00000085365	a	a	0.55
ENSG00000123570	ENSG00000085365	a	a	0.55
ENSG00000107758	ENSG00000085365	a	a	0.53
ENSG00000139131	ENSG00000085365	a	a	0.55
ENSG00000112996	ENSG00000085365	a	a	0.55
ENSG00000115415	ENSG00000225792	a	a	0.55
ENSG00000104388	ENSG00000225792	g	g.Ctrl_TCX	0.55
ENSG00000103769	ENSG00000225792	a	a	0.54
ENSG00000142875	ENSG00000225792	a	a	0.53
ENSG00000143155	ENSG00000225792	a	a	0.55
ENSG00000079785	ENSG00000225792	a	a	0.56
ENSG00000119801	ENSG00000225792	a	a	0.54
ENSG00000136531	ENSG00000225792	a	a	0.54
ENSG00000114405	ENSG00000225792	a	a	0.55
ENSG00000075790	ENSG00000225792	a	a	0.53
ENSG00000123570	ENSG00000225792	a	a	0.55
ENSG00000107758	ENSG00000225792	a	a	0.54
ENSG00000139131	ENSG00000225792	a	a	0.56
ENSG00000112996	ENSG00000225792	a	a	0.53
ENSG00000085365	ENSG00000225792	a	a	0.54
ENSG00000115415	ENSG00000172209	a	a	0.56
ENSG00000104388	ENSG00000172209	a	a	0.54
ENSG00000103769	ENSG00000172209	a	a	0.53
ENSG00000142875	ENSG00000172209	a	a	0.54
ENSG00000143155	ENSG00000172209	a	a	0.55
ENSG00000079785	ENSG00000172209	a	a	0.56
ENSG00000119801	ENSG00000172209	a	a	0.53
ENSG00000136531	ENSG00000172209	a	a	0.55
ENSG00000114405	ENSG00000172209	a	a	0.53
ENSG00000075790	ENSG00000172209	a	a	0.54
ENSG00000123570	ENSG00000172209	a	a	0.55
ENSG00000107758	ENSG00000172209	a	a	0.53
ENSG00000139131	ENSG00000172209	a	a	0.55
ENSG00000136404	ENSG00000172209	a	a	0.51
ENSG00000112996	ENSG00000172209	a	a	0.54
ENSG00000085365	ENSG00000172209	a	a	0.54
ENSG00000225792	ENSG00000172209	a	a	0.54
ENSG00000115415	ENSG00000106299	a	a	0.55
ENSG00000104388	ENSG00000106299	a	a	0.54
ENSG00000103769	ENSG00000106299	a	a	0.54
ENSG00000142875	ENSG00000106299	a	a	0.53
ENSG00000143155	ENSG00000106299	a	a	0.54
ENSG00000079785	ENSG00000106299	a	a	0.55
ENSG00000136531	ENSG00000106299	a	a	0.54
ENSG00000114405	ENSG00000106299	a	a	0.54
ENSG00000075790	ENSG00000106299	a	a	0.53
ENSG00000107758	ENSG00000106299	a	a	0.54
ENSG00000139131	ENSG00000106299	a	a	0.55
ENSG00000085365	ENSG00000106299	a	a	0.53
ENSG00000172209	ENSG00000106299	a	a	0.53
ENSG00000115415	ENSG00000186106	a	a	0.55
ENSG00000104388	ENSG00000186106	a	a	0.55
ENSG00000103769	ENSG00000186106	a	a	0.55
ENSG00000142875	ENSG00000186106	a	a	0.54
ENSG00000079785	ENSG00000186106	a	a	0.56
ENSG00000136531	ENSG00000186106	a	a	0.54
ENSG00000075790	ENSG00000186106	a	a	0.54
ENSG00000107758	ENSG00000186106	a	a	0.53
ENSG00000139131	ENSG00000186106	a	a	0.56
ENSG00000112996	ENSG00000186106	a	a	0.54
ENSG00000085365	ENSG00000186106	a	a	0.54
ENSG00000225792	ENSG00000186106	a	a	0.54
ENSG00000172209	ENSG00000186106	a	a	0.54
ENSG00000114573	ENSG00000119318	a	a	0.55
ENSG00000103769	ENSG00000119318	a	a	0.54
ENSG00000143155	ENSG00000119318	a	a	0.54
ENSG00000156735	ENSG00000119318	a	a	0.52
ENSG00000139131	ENSG00000119318	a	a	0.54
ENSG00000114573	ENSG00000149313	a	a	0.55
ENSG00000115415	ENSG00000149313	a	a	0.55
ENSG00000104388	ENSG00000149313	a	a	0.55
ENSG00000103769	ENSG00000149313	a	a	0.55
ENSG00000142875	ENSG00000149313	a	a	0.55
ENSG00000143155	ENSG00000149313	a	a	0.56
ENSG00000079785	ENSG00000149313	a	a	0.56
ENSG00000119801	ENSG00000149313	a	a	0.55
ENSG00000136531	ENSG00000149313	a	a	0.54
ENSG00000114405	ENSG00000149313	a	a	0.55
ENSG00000061918	ENSG00000149313	a	a	0.55
ENSG00000075790	ENSG00000149313	a	a	0.55
ENSG00000123570	ENSG00000149313	a	a	0.56
ENSG00000156735	ENSG00000149313	a	a	0.53
ENSG00000107758	ENSG00000149313	a	a	0.54
ENSG00000139131	ENSG00000149313	a	a	0.56
ENSG00000136404	ENSG00000149313	a	a	0.54
