from	to	wTO
ENSG00000117298	ENSG00000158195	0.772913816689466
ENSG00000117298	ENSG00000211452	0.636114911080711
ENSG00000162367	ENSG00000211452	0.625170998632011
ENSG00000117298	ENSG00000142961	0.759233926128591
ENSG00000158195	ENSG00000142961	0.740082079343365
ENSG00000211452	ENSG00000142961	0.666210670314637
ENSG00000117298	ENSG00000174021	0.590971272229822
ENSG00000158195	ENSG00000174021	0.644322845417237
ENSG00000142961	ENSG00000174021	0.648426812585499
ENSG00000117298	ENSG00000069702	0.567715458276334
ENSG00000158195	ENSG00000069702	0.645690834473324
ENSG00000162367	ENSG00000069702	0.601915184678523
ENSG00000142961	ENSG00000069702	0.616963064295486
ENSG00000174021	ENSG00000069702	0.648426812585499
ENSG00000162367	ENSG00000184371	0.562243502051984
ENSG00000142961	ENSG00000184371	0.74281805745554
ENSG00000174021	ENSG00000118292	0.66484268125855
ENSG00000158195	ENSG00000116815	0.677154582763338
ENSG00000162367	ENSG00000116815	0.673050615595075
ENSG00000142961	ENSG00000116815	0.663474692202462
ENSG00000174021	ENSG00000116815	0.673050615595075
ENSG00000069702	ENSG00000116815	0.716826265389877
ENSG00000174021	ENSG00000143416	0.647058823529412
ENSG00000118292	ENSG00000143416	0.607387140902873
ENSG00000174021	ENSG00000188643	0.647058823529412
ENSG00000118292	ENSG00000188643	0.570451436388509
ENSG00000162367	ENSG00000215915	0.508891928864569
ENSG00000211452	ENSG00000215915	0.647058823529412
ENSG00000184371	ENSG00000215915	0.558139534883721
ENSG00000158195	ENSG00000271810	0.641586867305062
ENSG00000174021	ENSG00000271810	0.6593707250342
ENSG00000069702	ENSG00000271810	0.547195622435021
ENSG00000118292	ENSG00000271810	0.596443228454172
ENSG00000116815	ENSG00000271810	0.623803009575923
ENSG00000143416	ENSG00000271810	0.644322845417237
ENSG00000188643	ENSG00000271810	0.647058823529412
ENSG00000117298	ENSG00000143458	0.722298221614227
ENSG00000158195	ENSG00000143458	0.770177838577291
ENSG00000162367	ENSG00000143458	0.584131326949384
ENSG00000211452	ENSG00000143458	0.641586867305062
ENSG00000142961	ENSG00000143458	0.745554035567715
ENSG00000215915	ENSG00000143458	0.585499316005472
ENSG00000117298	ENSG00000162733	0.590971272229822
ENSG00000158195	ENSG00000162733	0.6593707250342
ENSG00000162367	ENSG00000162733	0.610123119015048
ENSG00000142961	ENSG00000162733	0.638850889192886
ENSG00000174021	ENSG00000162733	0.6593707250342
ENSG00000069702	ENSG00000162733	0.615595075239398
ENSG00000184371	ENSG00000162733	0.549931600547196
ENSG00000118292	ENSG00000162733	0.584131326949384
ENSG00000116815	ENSG00000162733	0.699042407660739
ENSG00000188643	ENSG00000162733	0.564979480164159
ENSG00000271810	ENSG00000162733	0.581395348837209
ENSG00000117298	ENSG00000143178	0.439124487004104
ENSG00000158195	ENSG00000143178	0.556771545827633
ENSG00000142961	ENSG00000143178	0.526675786593707
ENSG00000069702	ENSG00000143178	0.599179206566347
ENSG00000116815	ENSG00000143178	0.714090287277702
ENSG00000143458	ENSG00000143178	0.418604651162791
ENSG00000162367	ENSG00000203721	0.467852257181943
ENSG00000211452	ENSG00000203721	0.652530779753762
ENSG00000184371	ENSG00000203721	0.465116279069767
ENSG00000215915	ENSG00000203721	0.441860465116279
ENSG00000162367	ENSG00000224536	0.694938440492476
ENSG00000211452	ENSG00000224536	0.666210670314637
ENSG00000142961	ENSG00000224536	0.733242134062928
ENSG00000184371	ENSG00000224536	0.708618331053352
ENSG00000116815	ENSG00000224536	0.667578659370725
ENSG00000215915	ENSG00000224536	0.692202462380301
ENSG00000143458	ENSG00000224536	0.729138166894665
ENSG00000143178	ENSG00000224536	0.522571819425445
ENSG00000203721	ENSG00000224536	0.642954856361149
ENSG00000162367	ENSG00000116132	0.629274965800274
ENSG00000142961	ENSG00000116132	0.637482900136799
ENSG00000069702	ENSG00000116132	0.72640218878249
ENSG00000116815	ENSG00000116132	0.715458276333789
ENSG00000162733	ENSG00000116132	0.708618331053352
ENSG00000117298	ENSG00000162889	0.716826265389877
ENSG00000158195	ENSG00000162889	0.759233926128591
ENSG00000162367	ENSG00000162889	0.6593707250342
ENSG00000211452	ENSG00000162889	0.616963064295486
ENSG00000142961	ENSG00000162889	0.753761969904241
ENSG00000174021	ENSG00000162889	0.641586867305062
ENSG00000069702	ENSG00000162889	0.59233926128591
ENSG00000184371	ENSG00000162889	0.701778385772914
ENSG00000116815	ENSG00000162889	0.647058823529412
ENSG00000271810	ENSG00000162889	0.596443228454172
ENSG00000143458	ENSG00000162889	0.685362517099863
ENSG00000162733	ENSG00000162889	0.618331053351573
ENSG00000143178	ENSG00000162889	0.455540355677155
ENSG00000224536	ENSG00000162889	0.718194254445965
ENSG00000116132	ENSG00000162889	0.616963064295486
ENSG00000174021	ENSG00000117592	0.705882352941177
ENSG00000143416	ENSG00000117592	0.690834473324213
ENSG00000188643	ENSG00000117592	0.688098495212038
ENSG00000271810	ENSG00000117592	0.707250341997264
